195,"56,26,14,8",BaFeSi4O10,gillespite,3/30/2022 9:01,3/30/2022 9:01
196,"56,80,53",BaHgI4,barium tetraiodomercurate(II),3/30/2022 9:01,3/30/2022 9:01
197,"56,53",BaI2,barium iodide,3/30/2022 9:01,3/30/2022 9:01
198,"56,19,24,8",BaK2(CrO4)2,barium potassium chromate,3/30/2022 9:01,3/30/2022 9:01
199,"56,25,8",BaMnO4,barium manganate,3/30/2022 9:01,3/30/2022 9:01
200,"56,25,8",Ba(MnO4)2,barium permanganate,3/30/2022 9:01,3/30/2022 9:01
201,"56,42,8",BaMoO4,barium molybdate,3/30/2022 9:01,3/30/2022 9:01
202,"56,7",BaN6,barium azide,3/30/2022 9:01,3/30/2022 9:01
203,"56,7,8",Ba(NO2)2,barium nitrite,3/30/2022 9:01,3/30/2022 9:01
204,"56,7,8",Ba(NO3)2,barium nitrate,3/30/2022 9:01,3/30/2022 9:01
205,"56,41,8",Ba(NbO3)2,barium niobate,3/30/2022 9:01,3/30/2022 9:01
206,"56,41,8",BaNb2O6,barium metaniobate,3/30/2022 9:01,3/30/2022 9:01
207,"56,8",BaO,barium oxide,3/30/2022 9:01,3/30/2022 9:01
208,"56,8,1",Ba(OH)2,barium hydroxide,3/30/2022 9:01,3/30/2022 9:01
209,"56,8,1",Ba(OH)2,baryta,3/30/2022 9:01,3/30/2022 9:01
210,"56,8",BaO2,barium dioxide,3/30/2022 9:01,3/30/2022 9:01
211,"56,15,8",Ba(PO3)2,barium metaphosphate,3/30/2022 9:01,3/30/2022 9:01
212,"56,16",BaS,barium sulfide,3/30/2022 9:01,3/30/2022 9:01
213,"56,16,6,7",Ba(SCN)2,barium thiocyanate,3/30/2022 9:01,3/30/2022 9:01
214,"56,16,8",BaS2O3,barium thiosulfate,3/30/2022 9:01,3/30/2022 9:01
215,"56,14,9",BaSiF6,barium hexafluorosilicate,3/30/2022 9:01,3/30/2022 9:01
216,"56,16,8",BaSO3,barium sulfite,3/30/2022 9:01,3/30/2022 9:01
217,"56,16,8",BaSO4,barium sulfate,3/30/2022 9:01,3/30/2022 9:01
218,"56,16,8",BaSO4,barite,3/30/2022 9:01,3/30/2022 9:01
219,"56,34",BaSe,barium selenide,3/30/2022 9:01,3/30/2022 9:01
220,"56,34,8",BaSeO3,barium selenite,3/30/2022 9:01,3/30/2022 9:01
221,"56,34,8",BaSeO4,barium selenate,3/30/2022 9:01,3/30/2022 9:01
222,"56,14,8",BaSiO3,barium metasilicate,3/30/2022 9:01,3/30/2022 9:01
223,"56,14",BaSi2,barium silicide,3/30/2022 9:01,3/30/2022 9:01
224,"56,14,8",BaSi2O5,barium disilicate,3/30/2022 9:01,3/30/2022 9:01
225,"56,50",BaSn3,barium stannate,3/30/2022 9:01,3/30/2022 9:01
226,"56,52,8",BaTeO3,barium tellurite,3/30/2022 9:01,3/30/2022 9:01
227,"56,52,8,1,8",BaTeO4�3H2O,barium tellurate trihydrate,3/30/2022 9:01,3/30/2022 9:01
228,"56,22,8",BaTiO3,barium titanate,3/30/2022 9:01,3/30/2022 9:01
229,"56,22,8",BaTiO3,barium metatitanate,3/30/2022 9:01,3/30/2022 9:01
230,"56,92,8",BaU2O7,barium uranium oxide,3/30/2022 9:01,3/30/2022 9:01
231,"56,74,8",BaWO4,barium tungstate,3/30/2022 9:01,3/30/2022 9:01
232,"56,40,8",BaZrO3,barium zirconate,3/30/2022 9:01,3/30/2022 9:01
233,"56,11,41,8",Ba2Na(NbO3)5,barium sodium niobate,3/30/2022 9:01,3/30/2022 9:01
234,"56,15,8",Ba2P2O7,barium pyrophosphate,3/30/2022 9:01,3/30/2022 9:01
235,"56,23,8",Ba2V2O7,barium pyrovanadate,3/30/2022 9:01,3/30/2022 9:01
236,"56,54,8",Ba2XeO6,barium perxenate,3/30/2022 9:01,3/30/2022 9:01
237,"56,24,8",Ba3(CrO4)2,barium chromate(V),3/30/2022 9:01,3/30/2022 9:01
238,"56,7",Ba3N2,barium nitride,3/30/2022 9:01,3/30/2022 9:01
239,"56,15,8",Ba3(PO4)2,barium orthophosphate,3/30/2022 9:01,3/30/2022 9:01
240,"56,23,8",Ba3(VO4)2,barium orthovandate,3/30/2022 9:01,3/30/2022 9:01
241,"4,5",BeB2,beryllium boride,3/30/2022 9:01,3/30/2022 9:01
242,"4,5,1",Be(BH4)2,beryllium borohydride,3/30/2022 9:01,3/30/2022 9:01
243,"4,35",BeBr2,beryllium bromide,3/30/2022 9:01,3/30/2022 9:01
244,"4,6,1,8",Be(CHO2)2,beryllium formate,3/30/2022 9:01,3/30/2022 9:01
245,"4,6,1,8",Be(C2H3O2)2,beryllium acetate,3/30/2022 9:01,3/30/2022 9:01
246,"4,6,1,8",Be(C5H7O2)2,beryllium acetylacetonate,3/30/2022 9:01,3/30/2022 9:01
247,"4,17",BeCl2,beryllium chloride,3/30/2022 9:01,3/30/2022 9:01
248,"4,9",BeF2,beryllium fluoride,3/30/2022 9:01,3/30/2022 9:01
249,"4,53",BeI2,beryllium iodide,3/30/2022 9:01,3/30/2022 9:01
250,"4,8",BeO,beryllium oxide,3/30/2022 9:01,3/30/2022 9:01
251,"4,8",BeO,bromellite,3/30/2022 9:01,3/30/2022 9:01
252,"4,8,1",Be(OH)2,beryllium hydroxide,3/30/2022 9:01,3/30/2022 9:01
253,"4,16",BeS,beryllium sulfide,3/30/2022 9:01,3/30/2022 9:01
254,"4,16,8",BeSO4,beryllium sulfate,3/30/2022 9:01,3/30/2022 9:01
255,"4,6",Be2C,beryllium carbide,3/30/2022 9:01,3/30/2022 9:01
256,"4,7",Be3N2,beryllium nitride,3/30/2022 9:01,3/30/2022 9:01
257,"83,5,8",BiBO3,bismuth(III) orthoborate,3/30/2022 9:01,3/30/2022 9:01
258,"83,35",BiBr3,bismuth(III) bromide,3/30/2022 9:01,3/30/2022 9:01
